"","Subject.ID","AccelormeterMeanX","AccelormeterMeanY","AccelormeterMeanZ","AccelormeterSDX","AccelormeterSDY","AccelormeterSDZ","GryoMeanX","GryoMeanY","GryoMeanZ","GryoSDX","GryoSDY","GryoSDZ"
"1",1,0.148162573229063,0.710454980704781,0.710454980704781,0.018890489881379,0.0254179155859209,0.0254179155859209,0.0114704403783495,0.00444869266497344,0.0275984349941828,0.111817844454636,0.0394522230181932,0.0466008544566952
"2",2,-0.0240110246144531,0.769108206608073,0.769108206608073,0.0057837440970888,0.00411191445115856,0.00411191445115856,0.00948662885829163,-0.0169135999761123,0.0259136753102604,0.0119088920333111,0.0155671989615223,0.0214119134308631
"3",3,0.164311857283266,0.853079137071573,0.853079137071573,0.00629753215935452,0.00692185637651388,0.00692185637651388,0.00707281137663609,0.00112362553571447,0.0228672015564589,0.0238646286818087,0.0194092939919658,0.0198629384223414
"4",4,0.0353230278877633,0.933186772265625,0.933186772265625,0.00716388228582846,0.00898748158224059,0.00898748158224059,0.0190214931005991,-0.0084309319287338,0.0369065337980098,0.0251214912678451,0.0317826221694184,0.020556240524842
"5",5,-0.00604921518210246,0.971130498046875,0.971130498046875,0.00593672818679426,0.00572390626202134,0.00572390626202134,0.0059626190485652,-0.00249746454457151,0.0325576263695337,0.0195515587886843,0.019290855822536,0.0212776860063386
"6",6,-0.00738397814703673,0.97705482709704,0.97705482709704,0.0111399024286477,0.0107560994396621,0.0107560994396621,0.0203323996502719,-0.0148446252517996,0.0410587608178561,0.0405558583990869,0.0451595286368331,0.0316598276058993
"7",7,-0.0255320237756331,0.409271407271635,0.409271407271635,0.0120687595544646,0.00941962925073376,0.00941962925073376,0.0256274303984285,-0.0267583634335763,0.0307986239309543,0.0364207427602946,0.044059491488985,0.0238385581945355
"8",8,0.045268529077309,0.60508905666956,0.60508905666956,0.0114199106383991,0.00733708050701592,0.00733708050701592,0.0340638952483782,-0.00668121104158738,0.0229507386982675,0.031999482261736,0.0387257895853346,0.0178854000827814
"9",9,-0.07843890639135,-0.102725756754688,-0.102725756754688,0.0144532524187876,0.0141117347857671,0.0141117347857671,0.0144830705982678,-0.0381799026011172,0.00661327766128875,0.0519910557214932,0.0581858861232362,0.0207878737752202
"10",10,0.0158414164399515,-0.124820034267241,-0.124820034267241,0.00719046016148956,0.0093895463355071,0.0093895463355071,0.00837346312501697,-0.00121594752027074,0.00813820787615124,0.0350393144679664,0.0374850230689371,0.0157787272868256
"11",11,0.240977608349781,0.959611063596491,0.959611063596491,0.00458190533119991,0.00595546763539767,0.00595546763539767,0.00876697735026623,0.0147996999648892,0.0290720738328285,0.018386263563087,0.0154515785670656,0.0216100130161106
"12",12,0.0643671613819869,0.820221124570312,0.820221124570312,0.0109427980744745,0.00810931729195945,0.00810931729195945,0.0134283674780807,-0.00416021491336589,0.0260504368187497,0.0312273171752553,0.0373214419099696,0.0263261054278771
"13",13,0.224605782486139,0.671896923311492,0.671896923311492,0.00653069232991513,0.00697885681238592,0.00697885681238592,0.0185011398386217,-0.0100618412263863,0.0139357563317787,0.0259565555718717,0.0305613712609274,0.018001240353527
"14",14,0.223693438285846,0.505880507337623,0.505880507337623,0.0124752909394694,0.0114589251262772,0.0114589251262772,0.033753046970337,-0.0357061180366958,0.0277907943660432,0.0389511420208158,0.0536836892622174,0.0252901504176059
"15",15,0.216527439210069,0.916431189496528,0.916431189496528,0.00779168594103582,0.00715308173772431,0.00715308173772431,0.0111847636428097,0.00558466787017941,0.0120026489182854,0.0389975879409544,0.0317568854049051,0.0232371057892668
"16",16,0.188780629202009,-0.00156944216517857,-0.00156944216517857,0.00665649976385514,0.00712207514984568,0.00712207514984568,0.0118814889989098,-0.0177598061187734,0.00455347393318371,0.0217180733679052,0.0244043998370704,0.00956118491201108
"17",17,0.193274804460827,0.676170269014085,0.676170269014085,0.00702389191563305,0.00895144904963471,0.00895144904963471,0.00433087518234815,-0.00908343119579687,0.0111124189300339,0.0226913814830362,0.0238403497966207,0.0137159562664913
